Registration #,User ID,Email,User Type,Country,Sector,Display Option,Preferred Currency,Company Name,Startup Stage,Base Price (INR),Base Price (USD),Extra Paid (INR),Extra Paid (USD),Total Referrals,Referral Code,Referral Earnings (INR),Referral Earnings (USD),INR Available,INR Pending,USD Available,USD Pending,Leaderboard Rank,Percentile,Ranking Score,Subscription Tier,Registration Timestamp,Status
1,278f0f3e-411f-4c00-99e6-1bab1dfd487d,user1@example.com,startup,Vietnam,Parking & Mobility,real_name,INR,Digital Dreams,Idea,₹999,$14.99,₹0,$0,27,REF81482,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,1,0.29%,27.00,Pro Max Ultra,2025-12-07T05:27:29.790743Z,verified
2,25039bca-0a28-4ff8-a3db-c006d9d36995,morgan_2@startup.io,influencer,Armenia,Tax Planning,real_name,USD,,N/A,₹999,$14.99,₹0,$0,0,REF10851,₹199.80,$3.00,₹99.90,₹99.90,$1.50,$1.50,2,0.57%,0.00,Pro Max Ultra,2025-11-06T18:27:29.791892Z,verified
3,fdf1ae9a-b9b3-4039-be57-c641b44d9726,user3@example.com,accelerator,Hungary,Smart Home & IoT Devices,real_name,USD,,N/A,₹999,$14.99,₹0,$0,38,REF57052,₹199.80,$3.00,₹99.90,₹99.90,$1.50,$1.50,3,0.86%,38.00,Pro Max Ultra,2025-11-19T23:27:29.792030Z,pending
4,579b1fa6-0c3a-4c47-a3a7-969da9c9b060,user4@example.com,ngo,Qatar,Enterprise Software,fancy_username,INR,,N/A,₹999,$14.99,₹0,$0,0,REF91070,₹199.80,$3.00,₹99.90,₹99.90,$1.50,$1.50,4,1.14%,0.00,Advanced,2025-10-21T06:27:29.792111Z,pending
5,8c06162d-ae58-4950-8894-ce6717360ad4,user5@example.com,professional,Bahrain,Language Learning,fancy_username,INR,VirtualWorld Tech,N/A,₹999,$14.99,₹5000,$60.24,0,REF46434,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,5,1.43%,5.00,Advanced,2025-12-07T14:27:29.792239Z,verified
6,d3a05dfe-d327-44c0-91af-ba30b6543c0b,user6@example.com,vc,Timor-Leste,Smart Cities,anonymous,INR,,N/A,₹999,$14.99,₹0,$0,0,REF42087,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,6,1.71%,0.00,Advanced,2025-12-03T09:27:29.792365Z,pending
7,27571331-8bb2-4f6b-a3dd-ae47fd29c4d0,morgan_7@startup.io,vc,Tunisia,Tax Compliance,real_name,INR,,N/A,₹999,$14.99,₹5000,$60.24,0,REF45093,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,7,2.0%,5.00,Advanced,2025-11-23T14:27:29.792486Z,verified
8,21354845-b866-4c62-a0ae-90e0e4d06c89,user8@example.com,accelerator,Ethiopia,Neurology,fancy_username,USD,,N/A,₹999,$14.99,₹0,$0,47,REF83579,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,8,2.29%,47.00,Advanced,2025-12-05T19:27:29.792612Z,verified
9,4e2414b2-c41d-4c00-aa4b-e6eb1a1daa04,user9@example.com,influencer,Malta,Private Equity,real_name,INR,,N/A,₹999,$14.99,₹0,$0,0,REF24371,₹0.00,$0.00,₹0.00,₹0.00,$0.00,$0.00,9,2.57%,0.00,Advanced,2025-12-09T01:27:29.792732Z,verified
10,524a352b-808f-4b75-91e8-43abf22f6bac,user10@example.com,government,Singapore,Logistics & Supply Chain,fancy_username,USD,,N/A,₹999,$14.99,₹0,$0,0,REF42953,₹199.80,$3.00,₹99.90,₹99.90,$1.50,$1.50,10,2.86%,0.00,Advanced,2025-11-14T10:27:29.792835Z,verified
